FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,Class,Year
1,2006-03-24,,,,,None None,1,False,False,False,,,,,,,0,2006
2,2007-03-21,,,,,None None,1,False,False,False,,,,,,,0,2007
3,2008-09-28,,,,,None None,1,False,False,False,,,,,,,0,2008
4,2009-07-13,,,,,None None,1,False,False,False,,,,,,,0,2009
5,2010-06-04,,,,,None None,1,False,False,False,,,,,,,0,2010
6,2012-05-22,,,,,None None,1,False,False,False,,,,,,,0,2012
7,2013-03-01,,,,,None None,1,False,False,False,,,,,,,0,2013
8,2013-09-29,,,,,False Ocean,1,False,False,False,,,,,,,0,2013
9,2013-12-03,,,,,None None,1,False,False,False,,,,,,,0,2013
10,2014-01-06,,,,,None None,1,False,False,False,,,,,,,0,2014
11,2014-04-18,,,,,True Ocean,1,False,False,True,,,,,,,1,2014
12,2014-07-14,,,,,True Ocean,1,False,False,True,,,,,,,1,2014
13,2014-08-05,,,,,None None,1,False,False,False,,,,,,,0,2014
14,2014-09-07,,,,,None None,1,False,False,False,,,,,,,0,2014
15,2014-09-21,,,,,False Ocean,1,False,False,False,,,,,,,0,2014
16,2015-01-10,,,,,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,,,,,,0,2015
17,2015-02-11,,,,,True Ocean,1,True,False,True,,,,,,,1,2015
18,2015-04-14,,,,,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,,,,,,0,2015
19,2015-04-27,,,,,None None,1,False,False,False,,,,,,,0,2015
20,2015-06-28,,,,,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,0,2015
21,2015-12-22,,,,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,,1,2015
22,2016-01-17,,,,,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,,0,2016
23,2016-03-04,,,,,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,0,2016
24,2016-04-08,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2016
25,2016-05-06,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2016
26,2016-05-27,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2016
27,2016-07-18,,,,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,,1,2016
28,2016-08-14,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2016
29,2016-09-01,,,,,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,0,2016
